rank,player_name,rank_points
986,Peter Buldorini,15
987,Jan Kupcic,15
988,Finn Bass,15
989,Toby Martin,15
990,Pengyu Lu,15
991,Philip Hjorth,15
992,Brandon Perez,15
993,Gabriele Maria Noce,15
994,Oscar Jose Gutierrez,15
995,Michael Zhu,15
996,Preston Brown,15
997,Giannicola Misasi,15
998,Alexander Bernard,14
999,Kriish Tyagi,14
1000,Sidane Pontjodikromo,14
1001,Cooper Woestendick,14
1002,Daniel Siniakov,14
1003,Sebastian Dominko,14
1004,Pablo Martinez Gomez,14
1005,Maxim Shin,14
1006,Carles Hernandez,14
1007,Michel Hopp,14
1008,Lucio Ratti,14
1009,Andrin Casanova,14
1010,Alejandro Turriziani Alvarez,14
1011,Adan Freire Da Silva,14
1012,Ryan Dickerson,14
1013,Lorenzo Lorusso,14
1014,Charlie Camus,14
1015,Justin Schlageter,14
1016,Daniil Sarksian,14
1017,Hayden Jones,14
1018,Evan Bynoe,14
1019,Ezequiel Monferrer,14
1020,Nikola Milojevic,13
1021,Paul Barbier Gazeu,13
1022,Franco Emanuel Egea,13
1023T,Tymur Bieldiugin,13
1023T,Matthew Thomson,13
1025,Aoran Wang,13
1026,Shunsuke Nakagawa,13
1027,Ishaque Eqbal,13
1028,Oscar Moraing,13
1029,Younes Lalami Laaroussi,13
1030,Fernando Cavallo,13
1031,Juan Bautista Otegui,13
1032,Sungbeen Sim,13
1033,Mika Petkovic,13
1034,Nicolas Villalon,13
1035,Nathan Ponwith,13
1036,Valentin Basel,13
1037,Riccardo Bonadio,12
1038,Harrison Adams,12
1039,Pietro Romeo Scomparin,12
1040,Peter Heller,12
1041,Milan Welte,12
1042,Mario Martinez Serrano,12
1043,Derek Pham,12
1044,Martin Borisiouk,12
1045,Ryotero Matsumura,12
1046,Cezar Gabriel Papoe,12
1047T,Collin Altamirano,12
1047T,Thantub Suksumrarn,12
1049,Jesse Flores,12
1050,Leo Deflandre,12
1051,Patrick Kaukovalta,12
1052,Jeffrey Von Der Schulenburg,12
1053,Aliaksandr Liaonenka,12
1054,Carlos Maria Zarate,12
1055,Ronald Hohmann,12
1056,Alen Mujakic,12
1057,Illya Beloborodko,12
1058T,Aaron Funk,12
1058T,Aleksa Pisaric,12
1060T,Karol Filar,12
1060T,Phillip Jordan,12
1062,Manuel Plunger,12
1063,Martyn Pawelski,12
1064,Nitin Kumar Sinha,12
1065,Pavlos Tsitsipas,12
1066,Zhe Li,11
1067,Adam Neff,11
1068,Stian Klaassen,11
1069,Marc Van Der Merwe,11
1070,Alexander Kotzen,11
1071T,Yun seong Chung,11
1071T,Joshua Lapadat,11
1071T,Carl Emil Overbeck,11
1074T,Niccolo Baroni,11
1074T,Vlado Jankanj,11
1076,Aleksa Ciric,11
1077,Lucca Helguera Casado,11
1078,Rishab Agarwal,11
1079,Isaac Becroft,11
1080,Kacper Szymkowiak,11
1081,Tomas Martinez,11
1082,Rafael De Alba,11
1083,Benjamin Winter Lopez,11
1084,Deney Wassermann,11
1085,Vuk Radjenovic,11
1086,Joao Vitor Goncalves Ceolin,11
1087T,Mikael Arseneault,11
1087T,Kuzey Cekirge,11
1089,Nicolas Bruna,11
1090,Leonardo Malgaroli,11
1091,Corban Crowther,11
1092,Yuvan Nandal,11
1093,Izan Almazan Valiente,11
1094,Charles Chen,11
1095,Sam Ryan Ziegann,11
1096,Arthur Bonnaud,11
1097,Hugo Pierre,11
1098,Boris Butulija,11
1099,Noah Perfetti,11
1100,Mohamed Nazim Makhlouf,11
1101,Justin Barki,10
1102,Rohan Murali,10
1103,Lucas Renard,10
1104T,Enzo Aguiard,10
1104T,Adrian Bodmer,10
1104T,Christopher Li,10
1107T,Guy Orly Iradukunda,10
1107T,Alexander Rozin,10
1109,Christopher Bulus,10
1110,Keegan Rice,10
1111,Antoine Hoang,10
1112,Cengiz Aksu,10
1113,Jack Loutit,10
1114,Mikhail Gorokhov,10
1115,Finn Murgett,10
1116,Chen Dong,10
1117,Manish Sureshkumar,10
1118,Matteo De Vincentis,10
1119,Adam Jilly,10
1120,Alexander Stater,10
1121,Matisse Bobichon,10
1122,Aldin Setkic,10
1123,Antoine Berger,10
1124,Mateo Castañeda,10
1125,Pablo Trochu,10
1126T,Denis Petak,10
1126T,Matthias Ujvary,10
1128,Andreas Timini,10
1129,Stefan Vujic,10
1130,Ali Habib,10
1131,Ricardo Rodriguez - Pace,10
1132,Noah Thurner,10
1133,Keshav Chopra,10
1134,Gokberk Saritas,10
1135,Lucas Andrade Da Silva,9
1136,Lui Maxted,9
1137,Nam Hoang Ly,9
1138,Ilgiz Valiev,9
1139,Dominique Rolland,9
1140,Arklon Huertas Del Pino Cordova,9
1141,Andrea Meduri,9
1142,Liam Branger,9
1143,Marcel Kamrowski,9
1144,Cesar Bouchelaghem,9
1145,Tim Ruehl,9
1146,Vito Tonejc,9
1147,Simon Beaupain,9
1148,Vishnu Vardhan,9
1149,Mariano Dedura-Palomero,9
1150,Yuto Oki,9
1151,Pavel Verbin,9
1152,Yannik Kelm,9
1153,Adam Heinonen,9
1154,Alejandro Juan Mano,9
1155T,Alan Bojarski,9
1155T,Giorgio Tabacco,9
1157,Hanyi Liu,9
1158,Max Schoenhaus,9
1159T,Charles Bertimon,9
1159T,Luc Fomba,9
1161,Francesco Ferrari,9
1162,Maximo Zeitune,9
1163,Sasa Markovic,9
1164,Nico Hipfl,9
1165,Tristan Stringer,9
1166,Leyton Rivera,9
1167,Vignesh Gogineni,8
1168,Bastian Malla,8
1169,Thijs Boogaard,8
1170,Dylan Dietrich,8
1171,Artem Dubrivnyy,8
1172,Evgeny Donskoy,8
1173T,Liam Gavrielides,8
1173T,Ryo Tabata,8
1175T,Jack Kennedy,8
1175T,Novak Novakovic,8
1177,Nicolas Zanellato,8
1178,Benjamin Willwerth,8
1179,Nicolas Parizzia,8
1180,Antoine Vincent,8
1181,Luke Simkiss,8
1182,Cleeve Harper,8
1183,Igor Kudriashov,8
1184,Karlis Ozolins,8
1185,Romain Faucon,8
1186,Andres Fernandez Canovas,8
1187,Charlie Robertson,8
1188,Anas Mazdrashki,8
1189,Thando Longwe-Smit,8
1190,Dimitris Azoidis,8
1191T,Benjamin Hannestad,8
1191T,Mark Whitehouse,8
1193,Daniel Salazar,8
1194,Niels Lootsma,8
1195,Nikola Slavic,8
1196,Loic Namigandet Tenguere,8
1197,Bekkhan Atlangeriev,8
1198,Niklas Waldner,8
1199T,Ioannis Kountourakis,8
1199T,Andrea Paolini,8
1201,Billy Suarez,8
1202,Yuichiro Inui,8
1203,Koray Kirci,8
1204,Issei Okamura,8
1205,Jacopo Bilardo,8
1206,Manel Lazaro Juncadella,8
1207,Luca Fantini,8
1208,Nicolas Ifi,8
1209,Jeremy Schifris,8
1210,Cosme Rolland De Ravel,7
1211,Seita Watanabe,7
1212,Alejandro Arcila,7
1213,Tom Hands,7
1214,Alessio Vasquez,7
1215,Fermin Tenti,7
1216,Ray Ho,7
1217,Damien Salvestre,7
1218,Adit Sinha,7
1219,Calin Teodor Stirbu,7
1220,Filippo Alberti,7
1221T,Gage Brymer,7
1221T,Joshua Peck,7
1221T,Alessandro Spadola,7
1224,Liam Krall,7
1225,Vit Kalina,7
1226,Yshai Oliel,7
1227T,Julian Cundom,7
1227T,Iker Urribarrens Ramirez,7
1229,Pranav Kumar,7
1230,Valentin Lapalu,7
1231,Qian Sun,7
1232,Makoto Ochi,7
1233,Ignasi Forcano Aparicio,7
1234T,Ignacio Antonio Becerra Otarola,7
1234T,Ethan Cook,7
1234T,Mathieu Scaglia,7
1237,Federico Aguilar Cardozo,7
1238T,Manvydas Balciunas,7
1238T,Aleksander Chayka,7
1238T,Fabien Salle,7
1241,Xing Dao Chen,7
1242,Samuele Seghetti,7
1243,Zhenxiong Dong,7
1244,Ivan Denisov,7
1245,Alexander Petrov,7
1246,Lorenzo Angelini,7
1247,Daniele Rapagnetta,7
1248,Lorenzo Claverie,6
1249,Reese Stalder,6
1250,Vasek Pospisil,6
1251,Leo Raquin,6
1252,Noah Zamora,6
1253,Cing-Yang Meng,6
1254,Jagger Leach,6
1255,Vasco Leote Prata,6
1256,Karim Bennani,6
1257,Tiago Torres,6
1258,Geun Jun Kim,6
1259T,Gian Gruenig,6
1259T,Vladan Tadic,6
1261,Samuel Brosset,6
1262,Jarno Jans,6
1263,Pieter De Lange,6
1264,Nicaise Muamba,6
1265,Leonardo Cattaneo,6
1266T,Vlad Cristian Breazu,6
1266T,Luca Wiedenmann,6
1268,Admir Kalender,6
1269T,Alberto Odiseo Alvarado Berrospi,6
1269T,Bharath Nishok Kumaran,6
1271,Mikail Alimli,6
1272T,Jackson Ross,6
1272T,Yua Taka,6
1274,Sekou Bangoura,6
1275T,Szymon Kielan,6
1275T,Joao Victor Couto Loureiro,6
1275T,François Musitelli,6
1275T,Louis Van Herck,6
1279T,Fadi Bidan,6
1279T,David Fix,6
1279T,Alp Horoz,6
1282T,Alexis Canter,6
1282T,Rocco Valente,6
1284T,Credit Chaiyarin,6
1284T,Drew Van Orderlain,6
1286,Rafael Izquierdo Luque,6
1287,Bruno Fernandez,6
1288,Gabriele Bosio,6
1289T,Reece Falck,6
1289T,Matteo Fondriest,6
1289T,Michael Gloeckler,6
1292,Lucca Pinto,6
1293,Lawrence Bataljin,6
1294T,Juan Jose Bianchi,6
1294T,Daniel Khazime,6
1296T,Sean Hess,6
1296T,Yuquan Jin,6
1298,Jonathan Eysseric,5
1299T,Teymuraz Gabashvili,5
1299T,Michal Novansky,5
1301T,Mehdi Benchakroun,5
1301T,Andres Gabriel Ciurletti,5
1301T,Gabriel Donev,5
1301T,Alex Kuperstein,5
1301T,Niels Peter Van Noord,5
1306,Hugo Car,5
1307T,Suk Hyun Choo,5
1307T,Matyas Fuele,5
1309T,Christian Djonov,5
1309T,Dylan Salton,5
1311T,Romain Gales,5
1311T,Alejandro Garcia Carbajal,5
1313,Luc Koenig,5
1314T,Joaquin Guilleme,5
1314T,Alexander Vasilev,5
1316T,Khololwam Montsi,5
1316T,Tiago Silva,5
1318T,Maikel De Boes,5
1318T,Shu Matsuoka,5
1320T,Ignacio Carou,5
1320T,Jean-Christian Morandais,5
1322,William Jansen,5
1323,Rodrigo Fernandes,5
1324T,Madhwin Kamath,5
1324T,Bernardo Munk Mesa,5
1326T,Jonas Kucera,5
1326T,Yvo Panak,5
1328,Dax Donders,5
1329,Scott Jones,5
1330T,Amir Milushev,5
1330T,Edoardo Zanada,5
1332T,Oskar Grzegorzewski,5
1332T,Peetu Pohjola,5
1332T,Martin Sabas,5
1335,Noel Larwig,5
1336,Robert Guna,5
1337T,Markus Malaszszak,5
1337T,Stijn Pel,5
1337T,Ryota Tanuma,5
1340,Karim-Mohamed Maamoun,5
1341,Miljan Zekic,5
1342T,Jorge Plans,5
1342T,Richard Zusman,5
1344,Edison Ambarzumjan,5
1345,Kody Pearson,5
1346,Rafael Kis Balazs,5
1347,Yeong-Seok Jeong,5
1348,Gabor Hornung,5
1349T,Filip Krolo,5
1349T,Marc Majdandzic,5
1349T,Amador Salazar,5
1352,Tanguy Genier,5
1353T,Giacomo Crisostomo,5
1353T,Piet Luis Pinter,5
1353T,Gabriele Vulpitta,5
1356,Nicolas Buitrago,5
1357T,Daniel Batista,5
1357T,Tadeo Meneo,5
1359,Hernando Jose Escurra Isnardi,5
1360,Sergi Fita Juan,5
1361,Pietro Pampanin,5
1362,Maximilian Figl,5
1363,Karim Ibrahim,5
1364,Yuta Tomida,5
1365T,Blake Bayldon,4
1365T,Gianluca Brunkow,4
1365T,Francisco Cabral,4
1365T,Connor Thomson,4
1369T,Markos Kalovelonis,4
1369T,Thai-Son Kwiatkowski,4
1369T,Aleksi Lofman,4
1369T,Amirkhamza Nasridinov,4
1373,Rodrigo Crespo Piedra,4
1374T,Illya Marchenko,4
1374T,Joris Moret,4
1376T,Corey Craig,4
1376T,Bryce Nakashima,4
1378,Timofey Stepanov,4
1379,Noa Vukadin,4
1380T,Stepan Baum,4
1380T,Hugo Coquelin,4
1380T,Thomas Laurent,4
1380T,Julian Ocleppo,4
1384,Nicola Kuhn,4
1385T,Pierre Antoine Faut,4
1385T,Moritz Kudernatsch,4
1387,David Naharro,4
1388,Ilyas Milad Fahim,4
1389,Pedro Rodenas,4
1390T,Ryan Augusto Dos Santos,4
1390T,Rethin Pranav Senthil Kumar,4
1392T,Anas Bennour Dit Sahli,4
1392T,Anton Chekhov,4
1392T,Conor Gannon,4
1392T,Louis Herman,4
1392T,Edoardo Lavagno,4
1392T,Christian Lerby,4
1392T,Lucca Liu,4
1392T,Will Mayew,4
1392T,Kase Schinnerer,4
1392T,Fernando Yamacita,4
1402T,Aleksei Mokrov,4
1402T,Nathan Trouve,4
1404,Aayush P. Bhat,4
1405T,Sarp Agabigun,4
1405T,Lorenzo Beraldo,4
1405T,Stefan Horia Haita,4
1405T,Noah Schlagenhauf,4
1405T,Lingxi Zhao,4
1410T,David Eichenseher,4
1410T,Valentin Garay,4
1410T,Junhyeon Lee,4
1413,Julien De Cuyper,4
1414,Luciano Carraro,4
1415T,Artem Bogomolov,4
1415T,Jan Klimas,4
1415T,Oliver Okonkwo,4
1415T,Natan Rodrigues,4
1419,Enzo Camargo Lima,4
1420,Vincent Marysko,4
1421T,Gabriel Evans,4
1421T,Ivan Gretskiy,4
1421T,Sebastian Grundtvig Jorgensen,4
1421T,Rayane Oumaouche,4
1421T,Daniel Verbeek,4
1426T,Siddhant Banthia,4
1426T,Nathan Anthony Barki,4
1426T,Antonio Voljavec,4
1429T,Nikola Djosic,4
1429T,Jan Kobierski,4
1431T,Andrea De Marchi,4
1431T,Jonas Pelle Hartenstein,4
1431T,Patrik Oplustil,4
1434T,Ezequiel Simonit,4
1434T,Rafael Tosetto,4
1436T,Mousa Alkotop,4
1436T,Lewie Lane,4
1436T,Leonid Sheyngezikht,4
1436T,Fred Simonsson,4
1436T,Raphael Vaksmann,4
1436T,Sydney Zick,4
1442T,Valentin Kopeikin,4
1442T,Gorazd Srbljak,4
1444T,Joe Leather,4
1444T,Markus Molder,4
1446T,Ian Luca Cervantes Tomas,4
1446T,Nikos Lehmann,4
1448,Kazuma Kawachi,4
1449T,Parth Aggarwal,4
1449T,Alessandro Battiston,4
1449T,Filippo Mazzola,4
1452,Mateo Del Pino,4
1453T,Joao Graca,4
1453T,Naoki Tajima,4
1455,Jayden Court,4
1456,John Hallquist Lithen,4
1457,Nikola Jovic,4
1458T,Guido Andreozzi,3
1458T,Damien Clerc,3
1458T,Filip Duda,3
1458T,Federico Gaio,3
1458T,Alessandro Giannessi,3
1458T,Kelly Giese,3
1458T,Niklas Guttau,3
1458T,Evan King,3
1458T,Benito Massacri,3
1458T,Lucas Miedler,3
1458T,Matias Ponce De Leon Gomila,3
1458T,Johan Tatlot,3
1458T,Matej Vocel,3
1471T,Evan Burnett,3
1471T,Gilberto Ravasio,3
1471T,Gian Luca Tanner,3
1471T,Chun Ming Gary Yam,3
1475T,Wissam Abderrahman,3
1475T,Cesar Cruz,3
1475T,Keaton Hance,3
1475T,Casey Hoole,3
1475T,Petar Jovanovic,3
1475T,Loan Lestir,3
1475T,Daniel Phillips,3
1475T,Niels Ratiu,3
1475T,Lambert Ruland,3
1475T,Jelani Sarr,3
1485T,Arthur Bellegy,3
1485T,Duncan Chan,3
1485T,Renlong Pang,3
1485T,Yong Joon Park,3
1489T,Cade Birrell,3
1489T,Tyler Bowers,3
1489T,Ryan Colby,3
1489T,Connor Doig,3
1489T,Luca Giacomini,3
1489T,Volodymyr Iakubenko,3
1489T,Emanuel Ivanisevic,3
1489T,Aleksander Orlikowski,3
1489T,Oscar Otte,3
1489T,Dante Pagani,3
1489T,Matthew Rankin,3
1489T,Hudson Rivera,3
1489T,Saki Tange,3
1489T,Antoine Walch,3
1489T,Xiaofei Wang,3
1489T,Siem Woldeab,3
1505T,Lautaro Correa Beguerie,3
1505T,Felipe Dreer,3
1505T,Zsombor Velcz,3
1508T,Dillon Beckles,3
1508T,Alexis Gurmendi,3
1508T,Fnu Nidunjianzan,3
1511T,Walid Ahouda,3
1511T,Daniel Bagnolini,3
1511T,Antoine Bellier,3
1511T,Charlelie Cosnet,3
1511T,Karl Friberg,3
1511T,Herman Hoeyeraal,3
1511T,Pavel Lagutin,3
1511T,Samuel Puskar,3
1511T,Maciej Rajski,3
1511T,William Rejchtman Vinciguerra,3
1511T,Frazier Rengifo,3
1511T,Jonas Trinker,3
1523T,Mirko Martinez,3
1523T,Dmytro Shirokyi,3
1525,Nikolay Nedelchev,3
1526T,Antonio Caruso,3
1526T,Ondrej Horak,3
1526T,Dian Nedev,3
1526T,Braden Shick,3
1526T,Konstantin Zhzhenov,3
1531T,Jiri Barnat,3
1531T,Dmitry Bessonov,3
1531T,Noah Johnston,3
1531T,Rohan Mehra,3
1531T,Giulio Perego,3
1531T,Yu Tanaka,3
1537,Stefano Reitano,3
1538T,Vladimir Bazilevskiy,3
1538T,Rodolfo Jauregui Sainz de Rozas,3
1538T,Adam Jones,3
1538T,Arvid Nordquist,3
1538T,Alex Santino Nuñez Vera,3
1543T,Luca Staeheli,3
1543T,Roland Stuurman,3
1543T,Riku Takahata,3
1546,Thomas Gerbaud,3
1547T,Bryan Hernandez Cortes,3
1547T,William Hsieh,3
1547T,Fumin Jiang,3
1547T,Yusuf Khamis,3
1547T,Nemanja Malesevic,3
1547T,Oliver Ojakaar,3
1547T,Photos Photiades,3
1554T,Ammar Alhogbani,3
1554T,Patricio Alvarado,3
1554T,Nikolai Barsukov,3
1554T,Jesse De Jager,3
1554T,Kevin Edengren,3
1554T,Adam Farag Cao,3
1554T,Moritz Hoffmann,3
1554T,Viktor Jovic,3
1554T,Hiromasa Koyama,3
1554T,George Lazarov,3
1554T,Sergio Planella Hernandez,3
1554T,Victor Hugo Remondy Pagotto,3
1566,James Beaven,3
1567T,Alessio Basile,3
1567T,Alex Finkelstein,3
1567T,Seungmin Park,3
1567T,Alan Raul Sau Franco,3
1567T,Anthony Susanto,3
1572T,Vesa Ahti,3
1572T,Kylian Collignon,3
1572T,Andres Delgadillo,3
1572T,Jakub Kroslak,3
1572T,Bora Sengul,3
1572T,Jake Van Emburgh,3
1578,Tomas Lanik,3
1579T,Kaya Arinc,3
1579T,Yunseok Jang,3
1579T,Vadym Konovchuk,3
1579T,Iker Sevilla,3
1579T,Gabriele Volpi,3
1579T,Alexander Zgirovsky,3
1585T,Simone Agostini,3
1585T,Luke Hooper,3
1585T,Jan Hrazdil,3
1585T,Raghav Jaisinghani,3
1585T,Matei Cristian Onofrei,3
1585T,Rishi Reddy,3
1585T,Oren Vasser,3
1592T,Matteo Lavizzari,3
1592T,Matas Vasiliauskas,3
1594,Jan Jermar,3
1595,Carles Cordoba,3
1596T,Radovan Michalik,3
1596T,Nicolo Toffanin,3
1598,Luis Garcia Paez,3
1599,Alexey Aleshchev,3
1600,Nikita Ianin,3
1601T,Alfred Almasi,2
1601T,Michael Antonius,2
1601T,Theo Arribage,2
1601T,Luis Britto,2
1601T,Inigo Cervantes,2
1601T,Seongwoo Cho,2
1601T,Casper Christensen,2
1601T,Theodore Dean,2
1601T,Roberto Ferrer Guimaraes,2
1601T,Tomas Gerini,2
1601T,Saahith Jayaraman,2
1601T,Kevin King,2
1601T,Kacper Knitter,2
1601T,Zaid Mashni,2
1601T,Anders Matta,2
1601T,Siphosothando Montsi,2
1601T,Guillermo Olaso,2
1601T,Hunter Reese,2
1601T,Fernando Romboli,2
1601T,Yaraslav Shyla,2
1601T,Marcelo Zormann,2
1622T,Yannick Theodor Alexandrescou,2
1622T,Ulises Blanch,2
1622T,Billy Blaydes,2
1622T,Raul Garcia,2
1622T,Amine Jamji,2
1622T,Henri Laaksonen,2
1622T,Andrej Loncarevic,2
1622T,Alexander Razeghi,2
1622T,Simon Reveniau,2
1622T,Elio Jose Ribeiro Lago,2
1622T,Joao Vitor Scramin Do Lago,2
1622T,Pijus Vaitiekunas,2
1634T,Kiruthik Kalyaan Annur Senthil Kumar,2
1634T,Thanaphat Boosarawongse,2
1634T,Connor Bruce,2
1634T,Nathan Cox,2
1634T,Toru Horie,2
1634T,Dayne Kelly,2
1634T,Jangjun Kim,2
1634T,Oscar Lacides,2
1634T,Peter Makk,2
1634T,Luka Miklavcic,2
1634T,Leonardo Primucci,2
1634T,Harry Pugh,2
1634T,Sebastian Rodriguez,2
1647T,Jerko Brkic,2
1647T,Emiliano Jorquera,2
1647T,Tilen Kovac,2
1647T,Melvin Kumar,2
1647T,Vardan Manukyan,2
1647T,William Mirarchi,2
1647T,Alberto Morolli,2
1647T,Max Sheldon,2
1647T,JJ Tracy,2
1647T,Andres Urrea,2
1647T,Zack Viiala,2
1647T,Kacper Zuk,2
1659T,Taym Al Azmeh,2
1659T,Miles Clark,2
1659T,Sebastiano Cocola,2
1659T,Matias Franco Descotte,2
1659T,Dmitry Dolzhenkov,2
1659T,Jose Dominguez Alonso,2
1659T,Federico Guarducci,2
1659T,Botond Kisantal,2
1659T,Dheeraj Kodancha Srinivasan,2
1659T,Noritaka Koizumi,2
1659T,Ferdinand Livet Novkirichka,2
1659T,Karol Malirz,2
1659T,Duje Markovina,2
1659T,Marko Mesarovic,2
1659T,Shu Muto,2
1659T,Ilija Palavestra,2
1659T,Valerio Perruzza,2
1659T,Carl Roothman,2
1659T,Joao Silva,2
1659T,Valentin Vanta,2
1659T,Phoenix Weir,2
1659T,Jimmy Yang,2
1681T,Edoardo cherie Ligniere,2
1681T,Anthony Genov,2
1681T,Jim Hendrikx,2
1681T,Shion Itsusaki,2
1681T,Luke Saville,2
1681T,Kosuke Shibano,2
1687T,Julian Alonso Jr,2
1687T,Daniil Bogatov,2
1687T,Raphael Calzi,2
1687T,Elijah Cham,2
1687T,Yan Cheng Chen,2
1687T,Edoardo De Filippo,2
1687T,Spencer Gray,2
1687T,Daniel Jade,2
1687T,Alex Kobelt,2
1687T,Clement Lemire,2
1687T,Viktor Markov,2
1687T,Ofek Shimanov,2
1687T,Mehluli Don Ayanda Sibanda,2
1700T,Milledge Cossu,2
1700T,Pranav Karthik,2
1700T,Sina Moghimi,2
1700T,Ko Suzuki,2
1700T,Martin Antonio Vergara Del Puerto,2
1705T,Andrea Colombo,2
1705T,Stefan Cooper,2
1705T,Alex De Gabriele,2
1705T,Gian Matias Di Natale,2
1705T,Jarrod Joyce,2
1705T,Alejandro Lopez Escribano,2
1705T,William Mroz,2
1705T,Grigory Shebekin,2
1705T,Anton Shepp,2
1705T,Denis Spiridon,2
1705T,Taketo Takamisawa,2
1705T,Aditya Vishal Balsekar,2
1705T,Leopold Zima,2
1718T,Dorian Tremblay,2
1718T,Ludovico Vaccari,2
1718T,Alan Wazny,2
1721T,Matei Florin Breazu,2
1721T,Arthur Laborde,2
1721T,Fryderyk Lechno-Wasiutynski,2
1721T,Andrea Motta,2
1721T,Patrik Munkhammar,2
1721T,Tomislav Edward Papac,2
1721T,Bogdan Seleznev,2
1721T,Cedric Stanke,2
1721T,Zhengyu Sun,2
1721T,Kian Vakili,2
1721T,Federico Valle,2
1721T,Paul Valsecchi,2
1721T,Jefferson Wendler Filho,2
1721T,Linghao Zhang,2
1735T,S Mert Ozdemir,2
1735T,Digvijaypratap Singh,2
1737T,Stylianos Christodoulou,2
1737T,Ye Hongyu,2
1737T,Zekai Li,2
1737T,Benjamin O'Connell,2
1737T,Darius Florin Pop,2
1737T,Bang Shuo Yin,2
1737T,Daiki Yoshimura,2
1744,Marco Furlanetto,2
1745T,Sai Karteek Reddy Ganta,2
1745T,Aaron Gil Garcia,2
1745T,Xirui Han,2
1745T,Lukas Hellum-Lilleengen,2
1745T,Matic Kriznik,2
1745T,Louis Larue,2
1745T,Nik Mikovic,2
1745T,Nicolas Philibert,2
1745T,Tobias Sonne,2
1745T,Weitao Xu,2
1755T,Henrik Bladelius,2
1755T,Jurriaan Bol,2
1755T,Alvaro Bueno Gil,2
1755T,Giovanni Calvano,2
1755T,Jiri Cizek,2
1755T,Daniel Domingos,2
1755T,Carlos Giraldi,2
1755T,Aljaz Jeran,2
1755T,Samuil Konov,2
1755T,Rocco Piatti,2
1765T,Viktor Frydrych,2
1765T,Jordi Garcia Mestre,2
1765T,Thijmen Loof,2
1765T,Gabriel Matuszewski,2
1765T,Abhinav Sanjeev Shanmugam,2
1765T,Alaa Trifi,2
1771T,Matic Dimic,2
1771T,Ammar Elamin,2
1771T,Isaac Nortey,2
1771T,Pierre Antoine Tailleu,2
1775T,Felipe De Dios,2
1775T,Maan Kesharwani,2
1777T,Dmitry Kopilevich,2
1777T,Mateya Stanisavljevic,2
1779,Mihai Alexandru Coman,2
1780T,Artur Aiukhanov,1
1780T,Shaheed Alam,1
1780T,Leonardo Angeloni,1
1780T,Filip Apltauer,1
1780T,Cosimo Banti,1
1780T,Jerry Barton,1
1780T,Tudor Batin,1
1780T,Mika Berghaus,1
1780T,Shivank Bhatnagar,1
1780T,Mathis Bondaz,1
1780T,Santiago Bramajo,1
1780T,Omar Brigida,1
1780T,Noah Brownrigg,1
1780T,Tighe Brunetti,1
1780T,Siu Chi Nicholas Cheng,1
1780T,Alberto Colas Sanchez,1
1780T,Francesco Cordova,1
1780T,Gianluca Di Nicola,1
1780T,Karol Drzewiecki,1
1780T,Birtan Duran,1
1780T,Diego Duran,1
1780T,Paul Ender,1
1780T,Tarek Erlewein,1
1780T,Xavier Ferrer Mateo,1
1780T,Perry Gregg,1
1780T,Maxim Groysman,1
1780T,Patorn Hanchaikul,1
1780T,Mark Havlicek,1
1780T,Yuya Hirose,1
1780T,Dario Huber,1
1780T,Sergio Ingles Garre,1
1780T,Oskar Jansson,1
1780T,Michael Dylan Jimenez,1
1780T,Andrew Johnson,1
1780T,Mathieu Josserand,1
1780T,Hamza Karmoussi,1
1780T,Mischa Lanz,1
1780T,Isaac Lhomond,1
1780T,Aleksandar Ljubojevic,1
1780T,Noah Lopez Cherubino,1
1780T,Gerardo Lopez Villasenor,1
1780T,Mikolaj Lorens,1
1780T,Mihnea Maftei,1
1780T,Martin Maldonado,1
1780T,Maurus Malgiaritta,1
1780T,Richard Mallory,1
1780T,Maciej Matuszczyk,1
1780T,Ashton Mcleod,1
1780T,Joel Meda,1
1780T,Przemyslaw Michocki,1
1780T,Peter Nad,1
1780T,Mason Naumovski,1
1780T,Bruno Nhavene,1
1780T,Ricard Novell,1
1780T,Ignacio Novo,1
1780T,Alexander Ikenna Okonkwo,1
1780T,Alexander Orlov,1
1780T,Viacheslav Ovchinnikov,1
1780T,Lukas Palovic,1
1780T,Kunanan Pantaratorn,1
1780T,Arnav Vijay Paparkar,1
1780T,Matija Pecotic,1
1780T,Felipe Pinzon Moreno,1
1780T,Emil Rast,1
1780T,Tomas Rengel Sierra,1
1780T,Vincent Rettke,1
1780T,Rodrigo Reyna,1
1780T,Agassi Rusher,1
1780T,Leevi Saatela,1
1780T,Daniel Sancho,1
1780T,Tiran Sanghera,1
1780T,Edoardo Santoni,1
1780T,Batyr Sapaev,1
1780T,Jack Secord,1
1780T,Mitchell Sheldon,1
1780T,Hayden Shoemake,1
1780T,Mustafa Ege Sik,1
1780T,Leon Sloboda,1
1780T,Stephen Slocombe,1
1780T,Kazuki Sugimoto,1
1780T,Elias Sumann,1
1780T,Luciano Tacchi,1
1780T,Jip Van Assendelft,1
1780T,James Van Herzeele,1
1780T,Felipe Vazquez,1
1780T,Nicola Vidal,1
1780T,Max Villar,1
1780T,Christian Wedel,1
1780T,Sam Wensley,1
1780T,Dominic West,1
1780T,Dawid Wisniewski,1
1780T,Bartosz Wojnar,1
1780T,Anthony Wright,1
1780T,Carlos Zerega,1
1874T,Alan Abdullin,1
1874T,Karim Al-Amin,1
1874T,Mert Aytekin,1
1874T,Martin Benes,1
1874T,Tristan Berard,1
