name,rank,rank_points
Lorenzo Sciahbasi,984T,15
Peter Buldorini,986,15
Jan Kupcic,987,15
Finn Bass,988,15
Toby Martin,989,15
Pengyu Lu,990,15
Philip Hjorth,991,15
Brandon Perez,992,15
Gabriele Maria Noce,993,15
Oscar Jose Gutierrez,994,15
Michael Zhu,995,15
Preston Brown,996,15
Giannicola Misasi,997,15
Alexander Bernard,998,14
Kriish Tyagi,999,14
Sidane Pontjodikromo,1000,14
Cooper Woestendick,1001,14
Daniel Siniakov,1002,14
Sebastian Dominko,1003,14
Pablo Martinez Gomez,1004,14
Maxim Shin,1005,14
Carles Hernandez,1006,14
Michel Hopp,1007,14
Lucio Ratti,1008,14
Andrin Casanova,1009,14
Alejandro Turriziani Alvarez,1010,14
Adan Freire Da Silva,1011,14
Ryan Dickerson,1012,14
Lorenzo Lorusso,1013,14
Charlie Camus,1014,14
Justin Schlageter,1015,14
Daniil Sarksian,1016,14
Hayden Jones,1017,14
Evan Bynoe,1018,14
Ezequiel Monferrer,1019,14
Nikola Milojevic,1020,13
Paul Barbier Gazeu,1021,13
Franco Emanuel Egea,1022,13
Tymur Bieldiugin,1023T,13
Matthew Thomson,1023T,13
Aoran Wang,1025,13
Shunsuke Nakagawa,1026,13
Ishaque Eqbal,1027,13
Oscar Moraing,1028,13
Younes Lalami Laaroussi,1029,13
Fernando Cavallo,1030,13
Juan Bautista Otegui,1031,13
Sungbeen Sim,1032,13
Mika Petkovic,1033,13
Nicolas Villalon,1034,13
Nathan Ponwith,1035,13
Valentin Basel,1036,13
Riccardo Bonadio,1037,12
Harrison Adams,1038,12
Pietro Romeo Scomparin,1039,12
Peter Heller,1040,12
Milan Welte,1041,12
Mario Martinez Serrano,1042,12
Derek Pham,1043,12
Martin Borisiouk,1044,12
Ryotero Matsumura,1045,12
Cezar Gabriel Papoe,1046,12
Collin Altamirano,1047T,12
Thantub Suksumrarn,1047T,12
Jesse Flores,1049,12
Leo Deflandre,1050,12
Patrick Kaukovalta,1051,12
Jeffrey Von Der Schulenburg,1052,12
Aliaksandr Liaonenka,1053,12
Carlos Maria Zarate,1054,12
Ronald Hohmann,1055,12
Alen Mujakic,1056,12
Illya Beloborodko,1057,12
Aaron Funk,1058T,12
Aleksa Pisaric,1058T,12
Karol Filar,1060T,12
Phillip Jordan,1060T,12
Manuel Plunger,1062,12
Martyn Pawelski,1063,12
Nitin Kumar Sinha,1064,12
Pavlos Tsitsipas,1065,12
Zhe Li,1066,11
Adam Neff,1067,11
Stian Klaassen,1068,11
Marc Van Der Merwe,1069,11
Alexander Kotzen,1070,11
Yun Seong Chung,1071T,11
Joshua Lapadat,1071T,11
Carl Emil Overbeck,1071T,11
Niccolo Baroni,1074T,11
Vlado Jankanj,1074T,11
Aleksa Ciric,1076,11
Lucca Helguera Casado,1077,11
Rishab Agarwal,1078,11
Isaac Becroft,1079,11
Kacper Szymkowiak,1080,11
Tomas Martinez,1081,11
Rafael De Alba,1082,11
Benjamin Winter Lopez,1083,11
Deney Wassermann,1084,11
Vuk Radjenovic,1085,11
Joao Vitor Goncalves Ceolin,1086,11
Mikael Arseneault,1087T,11
Kuzey Cekirge,1087T,11
Nicolas Bruna,1089,11
Leonardo Malgaroli,1090,11
Corban Crowther,1091,11
Yuvan Nandal,1092,11
Izan Almazan Valiente,1093,11
Charles Chen,1094,11
Sam Ryan Ziegann,1095,11
Arthur Bonnaud,1096,11
Hugo Pierre,1097,11
Boris Butulija,1098,11
Noah Perfetti,1099,11
Mohamed Nazim Makhlouf,1100,11
Justin Barki,1101,10
Rohan Murali,1102,10
Lucas Renard,1103,10
Enzo Aguiard,1104T,10
Adrian Bodmer,1104T,10
Christopher Li,1104T,10
Guy Orly Iradukunda,1107T,10
Alexander Rozin,1107T,10
Christopher Bulus,1109,10
Keegan Rice,1110,10
Antoine Hoang,1111,10
Cengiz Aksu,1112,10
Jack Loutit,1113,10
Mikhail Gorokhov,1114,10
Finn Murgett,1115,10
Chen Dong,1116,10
Manish Sureshkumar,1117,10
Matteo De Vincentis,1118,10
Adam Jilly,1119,10
Alexander Stater,1120,10
Matisse Bobichon,1121,10
Aldin Setkic,1122,10
Antoine Berger,1123,10
Mateo Castañeda,1124,10
Pablo Trochu,1125,10
Denis Petak,1126T,10
Matthias Ujvary,1126T,10
Andreas Timini,1128,10
Stefan Vujic,1129,10
Ali Habib,1130,10
Ricardo Rodriguez - Pace,1131,10
Noah Thurner,1132,10
Keshav Chopra,1133,10
Gokberk Saritas,1134,10
Lucas Andrade Da Silva,1135,9
Lui Maxted,1136,9
Nam Hoang Ly,1137,9
Ilgiz Valiev,1138,9
Dominique Rolland,1139,9
Arklon Huertas Del Pino Cordova,1140,9
Andrea Meduri,1141,9
Liam Branger,1142,9
Marcel Kamrowski,1143,9
Cesar Bouchelaghem,1144,9
Tim Ruehl,1145,9
Vito Tonejc,1146,9
Simon Beaupain,1147,9
Vishnu Vardhan,1148,9
Mariano Dedura-Palomero,1149,9
Yuto Oki,1150,9
Pavel Verbin,1151,9
Yannik Kelm,1152,9
Adam Heinonen,1153,9
Alejandro Juan Mano,1154,9
Alan Bojarski,1155T,9
Giorgio Tabacco,1155T,9
Hanyi Liu,1157,9
Max Schoenhaus,1158,9
Charles Bertimon,1159T,9
Luc Fomba,1159T,9
Francesco Ferrari,1161,9
Maximo Zeitune,1162,9
Sasa Markovic,1163,9
Nico Hipfl,1164,9
Tristan Stringer,1165,9
Leyton Rivera,1166,9
Vignesh Gogineni,1167,8
Bastian Malla,1168,8
Thijs Boogaard,1169,8
Dylan Dietrich,1170,8
Artem Dubrivnyy,1171,8
Evgeny Donskoy,1172,8
Liam Gavrielides,1173T,8
Ryo Tabata,1173T,8
Jack Kennedy,1175T,8
Novak Novakovic,1175T,8
Nicolas Zanellato,1177,8
Benjamin Willwerth,1178,8
Nicolas Parizzia,1179,8
Antoine Vincent,1180,8
Luke Simkiss,1181,8
Cleeve Harper,1182,8
Igor Kudriashov,1183,8
Karlis Ozolins,1184,8
Romain Faucon,1185,8
Andres Fernandez Canovas,1186,8
Charlie Robertson,1187,8
Anas Mazdrashki,1188,8
Thando Longwe-Smit,1189,8
Dimitris Azoidis,1190,8
Benjamin Hannestad,1191T,8
Mark Whitehouse,1191T,8
Daniel Salazar,1193,8
Niels Lootsma,1194,8
Nikola Slavic,1195,8
Loic Namigandet Tenguere,1196,8
Bekkhan Atlangeriev,1197,8
Niklas Waldner,1198,8
Ioannis Kountourakis,1199T,8
Andrea Paolini,1199T,8
Billy Suarez,1201,8
Yuichiro Inui,1202,8
Koray Kirci,1203,8
Issei Okamura,1204,8
Jacopo Bilardo,1205,8
Manel Lazaro Juncadella,1206,8
Luca Fantini,1207,8
Nicolas Ifi,1208,8
Jeremy Schifris,1209,8
Cosme Rolland De Ravel,1210,7
Seita Watanabe,1211,7
Alejandro Arcila,1212,7
Tom Hands,1213,7
Alessio Vasquez,1214,7
Fermin Tenti,1215,7
Ray Ho,1216,7
Damien Salvestre,1217,7
Adit Sinha,1218,7
Calin Teodor Stirbu,1219,7
Filippo Alberti,1220,7
Gage Brymer,1221T,7
Joshua Peck,1221T,7
Alessandro Spadola,1221T,7
Liam Krall,1224,7
Vit Kalina,1225,7
Yshai Oliel,1226,7
Julian Cundom,1227T,7
Iker Urribarrens Ramirez,1227T,7
Pranav Kumar,1229,7
Valentin Lapalu,1230,7
Qian Sun,1231,7
Makoto Ochi,1232,7
Ignasi Forcano Aparicio,1233,7
Ignacio Antonio Becerra Otarola,1234T,7
Ethan Cook,1234T,7
Mathieu Scaglia,1234T,7
Federico Aguilar Cardozo,1237,7
Manvydas Balciunas,1238T,7
Aleksander Chayka,1238T,7
Fabien Salle,1238T,7
Xing Dao Chen,1241,7
Samuele Seghetti,1242,7
Zhenxiong Dong,1243,7
Ivan Denisov,1244,7
Alexander Petrov,1245,7
Lorenzo Angelini,1246,7
Daniele Rapagnetta,1247,7
Lorenzo Claverie,1248,6
Reese Stalder,1249,6
Vasek Pospisil,1250,6
Leo Raquin,1251,6
Noah Zamora,1252,6
Cing-Yang Meng,1253,6
Jagger Leach,1254,6
Vasco Leote Prata,1255,6
Karim Bennani,1256,6
Tiago Torres,1257,6
Geun Jun Kim,1258,6
Gian Gruenig,1259T,6
Vladan Tadic,1259T,6
Samuel Brosset,1261,6
Jarno Jans,1262,6
Pieter De Lange,1263,6
Nicaise Muamba,1264,6
Leonardo Cattaneo,1265,6
Vlad Cristian Breazu,1266T,6
Luca Wiedenmann,1266T,6
Admir Kalender,1268,6
Alberto Odiseo Alvarado Berrospi,1269T,6
Bharath Nishok Kumaran,1269T,6
Mikail Alimli,1271,6
Jackson Ross,1272T,6
Yua Taka,1272T,6
Sekou Bangoura,1274,6
Szymon Kielan,1275T,6
Joao Victor Couto Loureiro,1275T,6
François Musitelli,1275T,6
Louis Van Herck,1275T,6
Fadi Bidan,1279T,6
David Fix,1279T,6
Alp Horoz,1279T,6
Alexis Canter,1282T,6
Rocco Valente,1282T,6
Credit Chaiyarin,1284T,6
Drew Van Orderlain,1284T,6
Rafael Izquierdo Luque,1286,6
Bruno Fernandez,1287,6
Gabriele Bosio,1288,6
Reece Falck,1289T,6
Matteo Fondriest,1289T,6
Michael Gloeckler,1289T,6
Lucca Pinto,1292,6
Lawrence Bataljin,1293,6
Juan Jose Bianchi,1294T,6
Daniel Khazime,1294T,6
Sean Hess,1296T,6
Yuquan Jin,1296T,6
Jonathan Eysseric,1298,5
Teymuraz Gabashvili,1299T,5
Michal Novansky,1299T,5
Mehdi Benchakroun,1301T,5
Andres Gabriel Ciurletti,1301T,5
Gabriel Donev,1301T,5
Alex Kuperstein,1301T,5
Niels Peter Van Noord,1301T,5
Hugo Car,1306,5
Suk Hyun Choo,1307T,5
Matyas Fuele,1307T,5
Christian Djonov,1309T,5
Dylan Salton,1309T,5
Romain Gales,1311T,5
Alejandro Garcia Carbajal,1311T,5
Luc Koenig,1313,5
Joaquin Guilleme,1314T,5
Alexander Vasilev,1314T,5
Khololwam Montsi,1316T,5
Tiago Silva,1316T,5
Maikel De Boes,1318T,5
Shu Matsuoka,1318T,5
Ignacio Carou,1320T,5
Jean-Christian Morandais,1320T,5
William Jansen,1322,5
Rodrigo Fernandes,1323,5
Madhwin Kamath,1324T,5
Bernardo Munk Mesa,1324T,5
Jonas Kucera,1326T,5
Yvo Panak,1326T,5
Dax Donders,1328,5
Scott Jones,1329,5
Amir Milushev,1330T,5
Edoardo Zanada,1330T,5
Oskar Grzegorzewski,1332T,5
Peetu Pohjola,1332T,5
Martin Sabas,1332T,5
Noel Larwig,1335,5
Robert Guna,1336,5
Markus Malaszszak,1337T,5
Stijn Pel,1337T,5
Ryota Tanuma,1337T,5
Karim-Mohamed Maamoun,1340,5
Miljan Zekic,1341,5
Jorge Plans,1342T,5
Richard Zusman,1342T,5
Edison Ambarzumjan,1344,5
Kody Pearson,1345,5
Rafael Kis Balazs,1346,5
Yeong-Seok Jeong,1347,5
Gabor Hornung,1348,5
Filip Krolo,1349T,5
Marc Majdandzic,1349T,5
Amador Salazar,1349T,5
Tanguy Genier,1352,5
Giacomo Crisostomo,1353T,5
Piet Luis Pinter,1353T,5
Gabriele Vulpitta,1353T,5
Nicolas Buitrago,1356,5
Daniel Batista,1357T,5
Tadeo Meneo,1357T,5
Hernando Jose Escurra Isnardi,1359,5
Sergi Fita Juan,1360,5
Pietro Pampanin,1361,5
Maximilian Figl,1362,5
Karim Ibrahim,1363,5
Yuta Tomida,1364,5
Blake Bayldon,1365T,4
Gianluca Brunkow,1365T,4
Francisco Cabral,1365T,4
Connor Thomson,1365T,4
Markos Kalovelonis,1369T,4
Thai-Son Kwiatkowski,1369T,4
Aleksi Lofman,1369T,4
Amirkhamza Nasridinov,1369T,4
Rodrigo Crespo Piedra,1373,4
Illya Marchenko,1374T,4
Joris Moret,1374T,4
Corey Craig,1376T,4
Bryce Nakashima,1376T,4
Timofey Stepanov,1378,4
Noa Vukadin,1379,4
Stepan Baum,1380T,4
Hugo Coquelin,1380T,4
Thomas Laurent,1380T,4
Julian Ocleppo,1380T,4
Nicola Kuhn,1384,4
Pierre Antoine Faut,1385T,4
Moritz Kudernatsch,1385T,4
David Naharro,1387,4
Ilyas Milad Fahim,1388,4
Pedro Rodenas,1389,4
Ryan Augusto Dos Santos,1390T,4
Rethin Pranav Senthil Kumar,1390T,4
Anas Bennour Dit Sahli,1392T,4
Anton Chekhov,1392T,4
Conor Gannon,1392T,4
Louis Herman,1392T,4
Edoardo Lavagno,1392T,4
Christian Lerby,1392T,4
Lucca Liu,1392T,4
Will Mayew,1392T,4
Kase Schinnerer,1392T,4
Fernando Yamacita,1392T,4
Aleksei Mokrov,1402T,4
Nathan Trouve,1402T,4
Aayush P. Bhat,1404,4
Sarp Agabigun,1405T,4
Lorenzo Beraldo,1405T,4
Stefan Horia Haita,1405T,4
Noah Schlagenhauf,1405T,4
Lingxi Zhao,1405T,4
David Eichenseher,1410T,4
Valentin Garay,1410T,4
Junhyeon Lee,1410T,4
Julien De Cuyper,1413,4
Luciano Carraro,1414,4
Artem Bogomolov,1415T,4
Jan Klimas,1415T,4
Oliver Okonkwo,1415T,4
Natan Rodrigues,1415T,4
Enzo Camargo Lima,1419,4
Vincent Marysko,1420,4
Gabriel Evans,1421T,4
Ivan Gretskiy,1421T,4
Sebastian Grundtvig Jorgensen,1421T,4
Rayane Oumaouche,1421T,4
Daniel Verbeek,1421T,4
Siddhant Banthia,1426T,4
Nathan Anthony Barki,1426T,4
Antonio Voljavec,1426T,4
Nikola Djosic,1429T,4
Jan Kobierski,1429T,4
Andrea De Marchi,1431T,4
Jonas Pelle Hartenstein,1431T,4
Patrik Oplustil,1431T,4
Ezequiel Simonit,1434T,4
Rafael Tosetto,1434T,4
Mousa Alkotop,1436T,4
Lewie Lane,1436T,4
Leonid Sheyngezikht,1436T,4
Fred Simonsson,1436T,4
Raphael Vaksmann,1436T,4
Sydney Zick,1436T,4
Valentin Kopeikin,1442T,4
Gorazd Srbljak,1442T,4
Joe Leather,1444T,4
Markus Molder,1444T,4
Ian Luca Cervantes Tomas,1446T,4
Nikos Lehmann,1446T,4
Kazuma Kawachi,1448,4
Parth Aggarwal,1449T,4
Alessandro Battiston,1449T,4
Filippo Mazzola,1449T,4
Mateo Del Pino,1452,4
Joao Graca,1453T,4
Naoki Tajima,1453T,4
Jayden Court,1455,4
John Hallquist Lithen,1456,4
Nikola Jovic,1457,4
Guido Andreozzi,1458T,3
Damien Clerc,1458T,3
Filip Duda,1458T,3
Federico Gaio,1458T,3
Alessandro Giannessi,1458T,3
Kelly Giese,1458T,3
Niklas Guttau,1458T,3
Evan King,1458T,3
Benito Massacri,1458T,3
Lucas Miedler,1458T,3
Matias Ponce De Leon Gomila,1458T,3
Johan Tatlot,1458T,3
Matej Vocel,1458T,3
Evan Burnett,1471T,3
Gilberto Ravasio,1471T,3
Gian Luca Tanner,1471T,3
Chun Ming Gary Yam,1471T,3
Wissam Abderrahman,1475T,3
Cesar Cruz,1475T,3
Keaton Hance,1475T,3
Casey Hoole,1475T,3
Petar Jovanovic,1475T,3
Loan Lestir,1475T,3
Daniel Phillips,1475T,3
Niels Ratiu,1475T,3
Lambert Ruland,1475T,3
Jelani Sarr,1475T,3
Arthur Bellegy,1485T,3
Duncan Chan,1485T,3
Renlong Pang,1485T,3
Yong Joon Park,1485T,3
Cade Birrell,1489T,3
Tyler Bowers,1489T,3
Ryan Colby,1489T,3
Connor Doig,1489T,3
Luca Giacomini,1489T,3
Volodymyr Iakubenko,1489T,3
Emanuel Ivanisevic,1489T,3
Aleksander Orlikowski,1489T,3
Oscar Otte,1489T,3
Dante Pagani,1489T,3
Matthew Rankin,1489T,3
Hudson Rivera,1489T,3
Saki Tange,1489T,3
Antoine Walch,1489T,3
Xiaofei Wang,1489T,3
Siem Woldeab,1489T,3
Lautaro Correa Beguerie,1505T,3
Felipe Dreer,1505T,3
Zsombor Velcz,1505T,3
Dillon Beckles,1508T,3
Alexis Gurmendi,1508T,3
Fnu Nidunjianzan,1508T,3
Walid Ahouda,1511T,3
Daniel Bagnolini,1511T,3
Antoine Bellier,1511T,3
Charlelie Cosnet,1511T,3
Karl Friberg,1511T,3
Herman Hoeyeraal,1511T,3
Pavel Lagutin,1511T,3
Samuel Puskar,1511T,3
Maciej Rajski,1511T,3
William Rejchtman Vinciguerra,1511T,3
Frazier Rengifo,1511T,3
Jonas Trinker,1511T,3
Mirko Martinez,1523T,3
Dmytro Shirokyi,1523T,3
Nikolay Nedelchev,1525,3
Antonio Caruso,1526T,3
Ondrej Horak,1526T,3
Dian Nedev,1526T,3
Braden Shick,1526T,3
Konstantin Zhzhenov,1526T,3
Jiri Barnat,1531T,3
Dmitry Bessonov,1531T,3
Noah Johnston,1531T,3
Rohan Mehra,1531T,3
Giulio Perego,1531T,3
Yu Tanaka,1531T,3
Stefano Reitano,1537,3
Vladimir Bazilevskiy,1538T,3
Rodolfo Jauregui Sainz De Rozas,1538T,3
Adam Jones,1538T,3
Arvid Nordquist,1538T,3
Alex Santino Nuñez Vera,1538T,3
Luca Staeheli,1543T,3
Roland Stuurman,1543T,3
Riku Takahata,1543T,3
Thomas Gerbaud,1546,3
Bryan Hernandez Cortes,1547T,3
William Hsieh,1547T,3
Fumin Jiang,1547T,3
Yusuf Khamis,1547T,3
Nemanja Malesevic,1547T,3
Oliver Ojakaar,1547T,3
Photos Photiades,1547T,3
Ammar Alhogbani,1554T,3
Patricio Alvarado,1554T,3
Nikolai Barsukov,1554T,3
Jesse De Jager,1554T,3
Kevin Edengren,1554T,3
Adam Farag Cao,1554T,3
Moritz Hoffmann,1554T,3
Viktor Jovic,1554T,3
Hiromasa Koyama,1554T,3
George Lazarov,1554T,3
Sergio Planella Hernandez,1554T,3
Victor Hugo Remondy Pagotto,1554T,3
James Beaven,1566,3
Alessio Basile,1567T,3
Alex Finkelstein,1567T,3
Seungmin Park,1567T,3
Alan Raul Sau Franco,1567T,3
Anthony Susanto,1567T,3
Vesa Ahti,1572T,3
Kylian Collignon,1572T,3
Andres Delgadillo,1572T,3
Jakub Kroslak,1572T,3
Bora Sengul,1572T,3
Jake Van Emburgh,1572T,3
Tomas Lanik,1578,3
Kaya Arinc,1579T,3
Yunseok Jang,1579T,3
Vadym Konovchuk,1579T,3
Iker Sevilla,1579T,3
Gabriele Volpi,1579T,3
Alexander Zgirovsky,1579T,3
Simone Agostini,1585T,3
Luke Hooper,1585T,3
Jan Hrazdil,1585T,3
Raghav Jaisinghani,1585T,3
Matei Cristian Onofrei,1585T,3
Rishi Reddy,1585T,3
Oren Vasser,1585T,3
Matteo Lavizzari,1592T,3
Matas Vasiliauskas,1592T,3
Jan Jermar,1594,3
Carles Cordoba,1595,3
Radovan Michalik,1596T,3
Nicolo Toffanin,1596T,3
Luis Garcia Paez,1598,3
Alexey Aleshchev,1599,3
Nikita Ianin,1600,3
Alfred Almasi,1601T,2
Michael Antonius,1601T,2
Theo Arribage,1601T,2
Luis Britto,1601T,2
Inigo Cervantes,1601T,2
Seongwoo Cho,1601T,2
Casper Christensen,1601T,2
Theodore Dean,1601T,2
Roberto Ferrer Guimaraes,1601T,2
Tomas Gerini,1601T,2
Saahith Jayaraman,1601T,2
Kevin King,1601T,2
Kacper Knitter,1601T,2
Zaid Mashni,1601T,2
Anders Matta,1601T,2
Siphosothando Montsi,1601T,2
Guillermo Olaso,1601T,2
Hunter Reese,1601T,2
Fernando Romboli,1601T,2
Yaraslav Shyla,1601T,2
Marcelo Zormann,1601T,2
Yannick Theodor Alexandrescou,1622T,2
Ulises Blanch,1622T,2
Billy Blaydes,1622T,2
Raul Garcia,1622T,2
Amine Jamji,1622T,2
Henri Laaksonen,1622T,2
Andrej Loncarevic,1622T,2
Alexander Razeghi,1622T,2
Simon Reveniau,1622T,2
Elio Jose Ribeiro Lago,1622T,2
Joao Vitor Scramin Do Lago,1622T,2
Pijus Vaitiekunas,1622T,2
Kiruthik Kalyaan Annur Senthil Kumar,1634T,2
Thanaphat Boosarawongse,1634T,2
Connor Bruce,1634T,2
Nathan Cox,1634T,2
Toru Horie,1634T,2
Dayne Kelly,1634T,2
Jangjun Kim,1634T,2
Oscar Lacides,1634T,2
Peter Makk,1634T,2
Luka Miklavcic,1634T,2
Leonardo Primucci,1634T,2
Harry Pugh,1634T,2
Sebastian Rodriguez,1634T,2
Jerko Brkic,1647T,2
Emiliano Jorquera,1647T,2
Tilen Kovac,1647T,2
Melvin Kumar,1647T,2
Vardan Manukyan,1647T,2
William Mirarchi,1647T,2
Alberto Morolli,1647T,2
Max Sheldon,1647T,2
Jj Tracy,1647T,2
Andres Urrea,1647T,2
Zack Viiala,1647T,2
Kacper Zuk,1647T,2
Taym Al Azmeh,1659T,2
Miles Clark,1659T,2
Sebastiano Cocola,1659T,2
Matias Franco Descotte,1659T,2
Dmitry Dolzhenkov,1659T,2
Jose Dominguez Alonso,1659T,2
Federico Guarducci,1659T,2
Botond Kisantal,1659T,2
Dheeraj Kodancha Srinivasan,1659T,2
Noritaka Koizumi,1659T,2
Ferdinand Livet Novkirichka,1659T,2
Karol Malirz,1659T,2
Duje Markovina,1659T,2
Marko Mesarovic,1659T,2
Shu Muto,1659T,2
Ilija Palavestra,1659T,2
Valerio Perruzza,1659T,2
Carl Roothman,1659T,2
Joao Silva,1659T,2
Valentin Vanta,1659T,2
Phoenix Weir,1659T,2
Jimmy Yang,1659T,2
Edoardo Cherie Ligniere,1681T,2
Anthony Genov,1681T,2
Jim Hendrikx,1681T,2
Shion Itsusaki,1681T,2
Luke Saville,1681T,2
Kosuke Shibano,1681T,2
Julian Alonso Jr,1687T,2
Daniil Bogatov,1687T,2
Raphael Calzi,1687T,2
Elijah Cham,1687T,2
Yan Cheng Chen,1687T,2
Edoardo De Filippo,1687T,2
Spencer Gray,1687T,2
Daniel Jade,1687T,2
Alex Kobelt,1687T,2
Clement Lemire,1687T,2
Viktor Markov,1687T,2
Ofek Shimanov,1687T,2
Mehluli Don Ayanda Sibanda,1687T,2
Milledge Cossu,1700T,2
Pranav Karthik,1700T,2
Sina Moghimi,1700T,2
Ko Suzuki,1700T,2
Martin Antonio Vergara Del Puerto,1700T,2
Andrea Colombo,1705T,2
Stefan Cooper,1705T,2
Alex De Gabriele,1705T,2
Gian Matias Di Natale,1705T,2
Jarrod Joyce,1705T,2
Alejandro Lopez Escribano,1705T,2
William Mroz,1705T,2
Grigory Shebekin,1705T,2
Anton Shepp,1705T,2
Denis Spiridon,1705T,2
Taketo Takamisawa,1705T,2
Aditya Vishal Balsekar,1705T,2
Leopold Zima,1705T,2
Dorian Tremblay,1718T,2
Ludovico Vaccari,1718T,2
Alan Wazny,1718T,2
Matei Florin Breazu,1721T,2
Arthur Laborde,1721T,2
Fryderyk Lechno-Wasiutynski,1721T,2
Andrea Motta,1721T,2
Patrik Munkhammar,1721T,2
Tomislav Edward Papac,1721T,2
Bogdan Seleznev,1721T,2
Cedric Stanke,1721T,2
Zhengyu Sun,1721T,2
Kian Vakili,1721T,2
Federico Valle,1721T,2
Paul Valsecchi,1721T,2
Jefferson Wendler Filho,1721T,2
Linghao Zhang,1721T,2
S Mert Ozdemir,1735T,2
Digvijaypratap Singh,1735T,2
Stylianos Christodoulou,1737T,2
Ye Hongyu,1737T,2
Zekai Li,1737T,2
Benjamin O'Connell,1737T,2
Darius Florin Pop,1737T,2
Bang Shuo Yin,1737T,2
Daiki Yoshimura,1737T,2
Marco Furlanetto,1744,2
Sai Karteek Reddy Ganta,1745T,2
Aaron Gil Garcia,1745T,2
Xirui Han,1745T,2
Lukas Hellum-Lilleengen,1745T,2
Matic Kriznik,1745T,2
Louis Larue,1745T,2
Nik Mikovic,1745T,2
Nicolas Philibert,1745T,2
Tobias Sonne,1745T,2
Weitao Xu,1745T,2
Henrik Bladelius,1755T,2
Jurriaan Bol,1755T,2
Alvaro Bueno Gil,1755T,2
Giovanni Calvano,1755T,2
Jiri Cizek,1755T,2
Daniel Domingos,1755T,2
Carlos Giraldi,1755T,2
Aljaz Jeran,1755T,2
Samuil Konov,1755T,2
Rocco Piatti,1755T,2
Viktor Frydrych,1765T,2
Jordi Garcia Mestre,1765T,2
Thijmen Loof,1765T,2
Gabriel Matuszewski,1765T,2
Abhinav Sanjeev Shanmugam,1765T,2
Alaa Trifi,1765T,2
Matic Dimic,1771T,2
Ammar Elamin,1771T,2
Isaac Nortey,1771T,2
Pierre Antoine Tailleu,1771T,2
Felipe De Dios,1775T,2
Maan Kesharwani,1775T,2
Dmitry Kopilevich,1777T,2
Mateya Stanisavljevic,1777T,2
Mihai Alexandru Coman,1779,2
Artur Aiukhanov,1780T,1
Shaheed Alam,1780T,1
Leonardo Angeloni,1780T,1
Filip Apltauer,1780T,1
Cosimo Banti,1780T,1
Jerry Barton,1780T,1
Tudor Batin,1780T,1
Mika Berghaus,1780T,1
Shivank Bhatnagar,1780T,1
Mathis Bondaz,1780T,1
Santiago Bramajo,1780T,1
Omar Brigida,1780T,1
Noah Brownrigg,1780T,1
Tighe Brunetti,1780T,1
Siu Chi Nicholas Cheng,1780T,1
Alberto Colas Sanchez,1780T,1
Francesco Cordova,1780T,1
Gianluca Di Nicola,1780T,1
Karol Drzewiecki,1780T,1
Birtan Duran,1780T,1
Diego Duran,1780T,1
Paul Ender,1780T,1
Tarek Erlewein,1780T,1
Xavier Ferrer Mateo,1780T,1
Perry Gregg,1780T,1
Maxim Groysman,1780T,1
Patorn Hanchaikul,1780T,1
Mark Havlicek,1780T,1
Yuya Hirose,1780T,1
Dario Huber,1780T,1
Sergio Ingles Garre,1780T,1
Oskar Jansson,1780T,1
Michael Dylan Jimenez,1780T,1
Andrew Johnson,1780T,1
Mathieu Josserand,1780T,1
Hamza Karmoussi,1780T,1
Mischa Lanz,1780T,1
Isaac Lhomond,1780T,1
Aleksandar Ljubojevic,1780T,1
Noah Lopez Cherubino,1780T,1
Gerardo Lopez Villasenor,1780T,1
Mikolaj Lorens,1780T,1
Mihnea Maftei,1780T,1
Martin Maldonado,1780T,1
Maurus Malgiaritta,1780T,1
Richard Mallory,1780T,1
Maciej Matuszczyk,1780T,1
Ashton Mcleod,1780T,1
Joel Meda,1780T,1
Przemyslaw Michocki,1780T,1
Peter Nad,1780T,1
Mason Naumovski,1780T,1
Bruno Nhavene,1780T,1
Ricard Novell,1780T,1
Ignacio Novo,1780T,1
Alexander Ikenna Okonkwo,1780T,1
Alexander Orlov,1780T,1
Viacheslav Ovchinnikov,1780T,1
Lukas Palovic,1780T,1
Kunanan Pantaratorn,1780T,1
Arnav Vijay Paparkar,1780T,1
Matija Pecotic,1780T,1
Felipe Pinzon Moreno,1780T,1
Emil Rast,1780T,1
Tomas Rengel Sierra,1780T,1
Vincent Rettke,1780T,1
Rodrigo Reyna,1780T,1
Agassi Rusher,1780T,1
Leevi Saatela,1780T,1
Daniel Sancho,1780T,1
Tiran Sanghera,1780T,1
Edoardo Santoni,1780T,1
Batyr Sapaev,1780T,1
Jack Secord,1780T,1
Mitchell Sheldon,1780T,1
Hayden Shoemake,1780T,1
Mustafa Ege Sik,1780T,1
Leon Sloboda,1780T,1
Stephen Slocombe,1780T,1
Kazuki Sugimoto,1780T,1
Elias Sumann,1780T,1
Luciano Tacchi,1780T,1
Jip Van Assendelft,1780T,1
James Van Herzeele,1780T,1
Felipe Vazquez,1780T,1
Nicola Vidal,1780T,1
Max Villar,1780T,1
Christian Wedel,1780T,1
Sam Wensley,1780T,1
Dominic West,1780T,1
Dawid Wisniewski,1780T,1
Bartosz Wojnar,1780T,1
Anthony Wright,1780T,1
Carlos Zerega,1780T,1
Alan Abdullin,1874T,1
Karim Al-Amin,1874T,1
Mert Aytekin,1874T,1
