name,rank,rank_points
Benjamin Bonzi,66,905
Kei Nishikori,67,893
Pedro Martinez,68,890
Quentin Halys,69,886
Laslo Djere,70,886
Francisco Comesana,71,874
Mattia Bellucci,72,871
Hamad Medjedovic,73,869
Reilly Opelka,74,827
Arthur Cazaux,75,800
Yunchaokete Bu,76,793
Mariano Navone,77,785
Christopher O'Connell,78,775
Jesper De Jong,79,766
Vit Kopriva,80,756
Kamil Majchrzak,81,744
Roman Safiullin,82,741
Juan Manuel Cerundolo,83,736
Carlos Taberner,84,734
Rinky Hijikata,85,733
Ethan Quinn,86,726
Botic Van De Zandschulp,87,722
Adam Walton,88,706
Roberto Carballes Baena,89,690
Raphael Collignon,90,690
Marton Fucsovics,91,688
Borna Coric,92,680
Pablo Carreno Busta,93,662
Adrian Mannarino,94,661
Filip Misolic,95,661
Mackenzie Mcdonald,96,655
Luca Nardi,97,655
Hugo Dellien,98,654
Aleksandar Vukic,99,639
Nicolas Jarry,100,638
Alexander Shevchenko,101,635
Jenson Brooksby,102,627
Tristan Schoolkate,103,616
Alejandro Tabilo,104,605
Elmer Moller,105,601
James Duckworth,106,600
Chun-Hsin Tseng,107,599
Brandon Holt,108,594
Juncheng Shang,109,580
Nishesh Basavareddy,110,580
Valentin Royer,111,579
Nikoloz Basilashvili,112,548
Liam Draxl,113,548
Emilio Nava,114,539
Cristian Garin,115,535
Jaime Faria,116,530
Otto Virtanen,117,529
Francesco Passaro,118,524
Lukas Klein,119,517
Dalibor Svrcina,120,514
Alexander Blockx,121,492
Shintaro Mochizuki,122,491
Tristan Boyer,123,480
Eliot Spizzirri,124,477
Matteo Gigante,125,476
Hugo Gaston,126,473
Dino Prizmic,127,470
Andrea Pellegrino,128,468
Daniel Evans,129,465
Thiago Agustin Tirante,130,461
Yoshihito Nishioka,131,459
Terence Atmane,132,458
Thiago Seyboth Wild,133,455
Daniel Elahi Galan,134,455
Ignacio Buse,135,453
Colton Smith,136,448
Martin Landaluce,137,440
Jan-Lennard Struff,138,438
Roman Andres Burruchaga,139,437
Juan Pablo Ficovich,140,435
Sebastian Ofner,141,433
Pierre-Hugues Herbert,142,431
Tomas Barrios Vera,143,425
August Holmgren,144,418
Dusan Lajovic,145,414
Billy Harris,146,405
Mark Lajal,147,403
Zachary Svajda,148,399
Vilius Gaubas,149,396
Yannick Hanfmann,150,392
Jan Choinski,151,387
Stan Wawrinka,152,382
Titouan Droguet,153,377
Federico Coria,154,376
Christopher Eubanks,155,369
Taro Daniel,156,368
Harold Mayot,157,363
Yosuke Watanuki,158,358
Chris Rodesch,159,356
Felipe Meligeni Alves,160,356
Thanasi Kokkinakis,161,355
Zsombor Piros,162,350
Kyrian Jacquet,163,349
Li Tu,164,344
Zhizhen Zhang,165,335
Mitchell Krueger,166,333
James Mccabe,167,323
Coleman Wong,168,323
Hady Habib,169,320
Thiago Monteiro,170,320
Daniel Merida,171,318
Lukas Neumayer,172,317
Guy Den Ouden,173,316
Marc-Andrea Huesler,174,313
Murphy Cassone,175,312
Henrique Rocha,176,309
Lucas Pouille,177,309
Francesco Maestrelli,178,308
Alibek Kachmazov,179,304
Marco Trungelliti,180,302
Calvin Hemery,181,302
Richard Gasquet,182,301
Luca Van Assche,183,298
Jurij Rodionov,184,297
Santiago Rodriguez Taverna,185,295
Yibing Wu,186,294
Nicolai Budkov Kjaer,187,293
Benjamin Hassan,188,292
James Trotter,189,291
Luka Pavlovic,190,290
Jerome Kym,191,287
Hugo Grenier,192,285
Alexis Galarneau,193,285
Kimmer Coppejans,194,281
Mikhail Kukushkin,195,278
Jack Pinnington Jones,196,277
Nicolas Moreno De Alboran,197,277
Jason Kubler,198,275
Jay Clarke,199,275
Constant Lestienne,200,272
Federico Agustin Gomez,201,270
Dominic Stricker,202,270
Beibit Zhukayev,203,269
Omar Jasika,204,269
Rei Sakamoto,205,268
Sascha Gueymard Wayenburg,206,267
Yuta Shimizu,207,266
Sho Shimabukuro,208,265
Rio Noguchi,209,264
Gauthier Onclin,210,262
Bernard Tomic,211,262
Vitaliy Sachko,212,259
Patrick Kypson,213,258
Fajing Sun,214,258
