player0_rank,player0_rank_points,player0_hand,player1_rank,player1_rank_points,player1_hand,surface,tourney_level,round,best_of,label,rank_diff,rank_points_diff,ht_diff,age_diff
-0.1852277235945262,-0.42384096897117224,1,-0.27271558317206246,-0.3641589694433016,1,3,0,3,0,1,0.0737627215134977,-0.045134052681259446,1.0423593271959382,0.960362522188174
-0.3930280612147476,-0.29347026510597646,1,-0.078357901328733,-0.46529151216883174,1,3,0,3,0,1,-0.246387887409236,0.13458281334968264,1.874133483428423,0.42517003958042293
-0.31171488562422617,-0.3427347707140228,1,-0.5907554261884198,0.10021294271652895,1,3,0,3,0,1,0.23028079698683418,-0.34357579134922284,1.35427463578312,1.0157272617682864
1.1790266668686664,-0.705609909583047,1,-0.27271558317206246,-0.3641589694433016,1,3,0,9,0,1,1.148045875898671,-0.26349470078621234,1.5622181748412411,-0.6083050992483386
-0.07681015614049763,-0.46769839469540864,1,-0.5907554261884198,0.10021294271652895,1,3,0,9,0,1,0.41525670436441364,-0.4404180404021657,-1.3489913719724553,-0.47912070689474356
-0.600828398834969,0.10004499310463748,1,-0.27271558317206246,-0.3641589694433016,1,3,0,2,0,0,-0.25350234538529676,0.36085845296377034,1.35427463578312,-0.774399317988675
-0.05874056156482621,-0.454481088312762,1,-0.643762066691146,0.325217889845519,1,1,0,6,0,0,0.47217236817289965,-0.6052360988865012,0.002641631905332292,0.7389035638677253
2.8775685569817804,-0.7620838550361733,1,-0.08719234141252072,-0.4437484853160561,1,1,0,6,0,1,2.3361603579008157,-0.24533677908878557,-1.0370760633852736,-0.8666738839555287
0.04967700588920235,-0.5109550337658884,1,-0.09602678149630842,-0.4413548156657477,1,1,0,6,0,1,0.1164494693698622,-0.05258345645456274,1.2503028662540594,-0.11002244302732886
-0.23943650732154048,-0.35835522371169604,1,0.11599978051459646,-0.5400936887409694,1,1,0,6,0,1,-0.28196017728953976,0.14249780485881738,-0.30927367668184946,-0.7005796652151923
-0.537584817820119,-0.08439650959865792,1,5.646359272965698,-0.7872400801353122,1,1,0,6,0,0,-4.970387983513573,0.5470935472963527,0.834415788137817,0.33289547361356925
-0.013566575125647644,-0.4821172743855685,1,0.10716534043080875,-0.5299205927271586,1,1,0,6,0,1,-0.09698426991196027,0.038671739768402665,0.834415788137817,0.42517003958042293
-0.1219841425796762,-0.4268449022399556,1,0.03648981976050713,-0.5041886439863433,1,1,0,6,0,0,-0.12544210181620327,0.061485538824144016,-0.30927367668184946,0.3328954736135686
-0.33881927748773333,-0.31149386471867635,1,-0.44940438484781653,-0.22412929490025993,1,1,0,6,0,0,0.09510609544167994,-0.06701667626533789,0.3145569404925141,0.5728093451273889
-0.37495846663907617,-0.2946718384134898,1,0.09833090034702105,-0.5251332534265418,1,1,0,6,0,0,-0.37444813097832946,0.18021041146116534,0.5225004795506353,-0.8297640575687873
-0.03163616970131907,-0.47490783454048857,1,0.248516381771412,-0.5736050638452871,1,1,0,6,0,0,-0.22504451348105375,0.07824669731407644,-1.5569349110305766,0.000707036132895827
0.311686127236438,-0.5860533654854712,1,2.6514840845616674,-0.75672079209388,1,1,0,6,0,0,-1.889827679879269,0.13458281334968264,-1.8688502196177583,-1.4018663665632805
0.05871180317703806,-0.515160540342185,1,-0.44056994476402883,-0.23310555608891645,0,1,0,6,0,1,0.40102778841229214,-0.21786710267472967,1.35427463578312,0.812723216641208
3.2208908539195376,-0.7662893616124699,0,-0.25504670300448706,-0.34022227294021756,1,1,0,6,0,1,2.7416844625362784,-0.32914257153844767,0.3145569404925141,-0.922038623535641
-0.04970576427699049,-0.45808580823530204,1,0.21317862143626118,-0.5676208897195161,1,1,0,6,0,1,-0.21081559752893225,0.08662727655904265,-0.2053019071527889,-0.64521492563508
0.013537816737859495,-0.5031448072670517,1,1.1672981504853333,-0.7010679727242096,1,1,0,6,0,1,-0.9293758531110677,0.15553426146209817,-1.5569349110305766,-0.46066579370137256
-0.5014456286687762,-0.1120326956714644,1,-0.14903342199903463,-0.395875092309888,0,1,0,6,0,1,-0.274845719313479,0.22118213221433347,1.6661899443703019,-1.4756860193367631
-0.08584495342833334,-0.4460700751601688,1,-0.060689021161157604,-0.4521263290921355,1,1,0,5,0,0,-0.018725232175292032,0.006080598260200736,0.5225004795506353,-0.054657703447216516
0.12195538419188805,-0.5427967264149914,1,-0.09602678149630842,-0.4413548156657477,1,1,0,5,0,1,0.17336513317834817,-0.07725960645362992,1.5622181748412411,-0.20229700899418251
0.11292058690405234,-0.5325833533011282,1,-0.5289143456019059,-0.08350120294464114,1,1,0,5,0,1,0.5148591160292642,-0.3477660809717059,-2.3887090672630613,-0.792854231182046
-0.33881927748773333,-0.31149386471867635,1,-0.12253010174767152,-0.42459912811358885,1,1,0,5,0,0,-0.16812884967256775,0.08895521523819994,-0.7251607547980918,0.6281740847075012
-0.37495846663907617,-0.2946718384134898,1,-0.034185700909794496,-0.47247252111975696,1,1,0,5,0,1,-0.26773126133741826,0.1392386907079972,1.874133483428423,-0.2761166617676652
0.311686127236438,-0.5860533654854712,1,-0.44056994476402883,-0.23310555608891645,0,1,0,5,0,0,0.6002326117419932,-0.2728064555028415,0.3145569404925141,-0.23920683538092385
0.22133815435808088,-0.5704329124877979,1,-0.25504670300448706,-0.34022227294021756,1,1,0,5,0,1,0.3796844144841099,-0.17736096965739298,0.5225004795506353,0.84963304302795
-0.14908853444318335,-0.3980071428596358,0,1.1672981504853333,-0.7010679727242096,1,1,0,5,0,0,-1.0574360966801613,0.237012115232603,-0.8291325243271525,0.40671512638705193
-0.09487975071616907,-0.4436669285451421,1,-0.08719234141252072,-0.4437484853160561,1,1,0,3,0,1,-0.0044963162231705335,0.0014247209018861749,-1.5569349110305766,-0.5344854464748553
-0.537584817820119,-0.08439650959865792,1,-0.3345566637585764,-0.3097029848987854,1,1,0,3,0,1,-0.15389993372044627,0.17555453410285077,1.0423593271959382,-0.11002244302732886
-0.03163616970131907,-0.47490783454048857,1,0.30152302227413824,-0.5831797424465207,1,1,0,3,0,0,-0.26773126133741826,0.08569610108737974,-0.30927367668184946,0.5912642583207592
